Symbol,Date,ClosePx
XAFBX,2025-04-10,11.57
XBFKX,2025-04-10,10.76
XBFZX,2025-04-10,11.86
XBHVX,2025-04-10,11.56
XBKNX,2025-04-10,12.07
XBLEX,2025-04-10,11.23
XBNYX,2025-04-10,10.95
XBYMX,2025-04-10,11.76
XCEVX,2025-04-10,10.79
XCMUX,2025-04-10,3.65
XCXEX,2025-04-10,3.99
XCXHX,2025-04-10,8.30
XDMFX,2025-04-10,7.13
XDSMX,2025-04-10,6.24
XDTFX,2025-04-10,12.00
XEIMX,2025-04-10,10.50
XENWX,2025-04-10,9.79
XEVMX,2025-04-10,9.45
XEVNX,2025-04-10,10.58
XFMNX,2025-04-10,11.94
XIIMX,2025-04-10,12.40
XIQIX,2025-04-10,10.11
XKTFX,2025-04-10,9.28
XLEOX,2025-04-10,6.58
XMFMX,2025-04-10,5.80
XMHDX,2025-04-10,12.58
XMHFX,2025-04-10,6.89
XMHIX,2025-04-10,9.59
XMHNX,2025-04-10,11.05
XMIYX,2025-04-10,12.18
XMMUX,2025-04-10,10.77
XMNSX,2025-04-10,11.67
XMPAX,2025-04-10,12.18
XMQTX,2025-04-10,10.75
XMQYX,2025-04-10,12.18
XMUAX,2025-04-10,11.16
XMUCX,2025-04-10,11.65
XMUEX,2025-04-10,10.77
XMUJX,2025-04-10,12.25
XMVFX,2025-04-10,7.41
XMVTX,2025-04-10,11.48
XMYDX,2025-04-10,11.22
XMYIX,2025-04-10,11.61
XMYNX,2025-04-10,10.70
XNACX,2025-04-10,11.44
XNADX,2025-04-10,11.95
XNANX,2025-04-10,11.33
XNAZX,2025-04-10,11.42
XNBHX,2025-04-10,11.08
XNCAX,2025-04-10,8.94
XNCMX,2025-04-10,11.94
XNEAX,2025-04-10,11.52
XNIMX,2025-04-10,9.72
XNMIX,2025-04-10,9.76
XNMTX,2025-04-10,11.09
XNMZX,2025-04-10,10.39
XNNYX,2025-04-10,8.65
XNOMX,2025-04-10,10.50
XNPVX,2025-04-10,11.27
XNQPX,2025-04-10,12.06
XNRKX,2025-04-10,10.76
XNUVX,2025-04-10,8.96
XNVGX,2025-04-10,12.56
XNXCX,2025-04-10,13.21
XNXJX,2025-04-10,12.39
XNXNX,2025-04-10,12.19
XNXPX,2025-04-10,14.01
XNZFX,2025-04-10,12.53
XOIAX,2025-04-10,6.04
XPCKX,2025-04-10,6.08
XPCQX,2025-04-10,9.53
XPMAX,2025-04-10,8.67
XPMFX,2025-04-10,8.50
XPMLX,2025-04-10,7.95
XPMMX,2025-04-10,6.42
XPMOX,2025-04-10,10.80
XPMQX,2025-04-10,7.31
XPNFX,2025-04-10,7.93
XPNIX,2025-04-10,7.65
XPYNX,2025-04-10,6.07
XPZCX,2025-04-10,7.03
XSBIX,2025-04-10,8.40
XVCVX,2025-04-10,10.27
XVFLX,2025-04-10,10.93
XVGMX,2025-04-10,10.36
XVKIX,2025-04-10,8.95
XVKQX,2025-04-10,10.05
XVMOX,2025-04-10,9.99
XVPVX,2025-04-10,10.87
XVTNX,2025-04-10,10.87
