Symbol,TimeUpdated,Open,DayHigh,DayLow,CurrentPrice
AFB,2025-04-10,10.13,10.24,9.89,9.89
BFK,2025-04-10,9.35,9.39,8.83,9.20
BFZ,2025-04-10,10.41,10.51,10.20,10.20
BHV,2025-04-10,10.45,10.45,10.25,10.25
BKN,2025-04-10,10.59,10.61,10.35,10.46
BLE,2025-04-10,9.83,9.90,9.56,9.64
BNY,2025-04-10,9.73,9.78,9.56,9.63
BYM,2025-04-10,10.56,10.95,10.32,10.45
CEV,2025-04-10,9.58,9.63,9.45,9.46
CMU,2025-04-10,3.27,3.33,3.20,3.22
CXE,2025-04-10,3.49,3.50,3.40,3.41
CXH,2025-04-10,7.58,7.59,7.50,7.51
DMF,2025-04-10,6.81,6.87,6.72,6.77
DSM,2025-04-10,5.48,5.48,5.35,5.37
DTF,2025-04-10,11.24,11.29,11.07,11.08
EIM,2025-04-10,9.57,9.61,9.31,9.45
ENX,2025-04-10,9.14,9.22,8.95,8.95
EVM,2025-04-10,8.76,8.84,8.63,8.64
EVN,2025-04-10,9.88,9.99,9.75,9.82
FMN,2025-04-10,10.37,10.45,10.26,10.35
IIM,2025-04-10,11.45,11.55,11.26,11.40
IQI,2025-04-10,9.28,9.32,9.07,9.17
KTF,2025-04-10,8.89,8.97,8.80,8.80
LEO,2025-04-10,5.68,5.80,5.64,5.64
MAV,2025-04-10,8.05,8.05,7.73,7.74
MFM,2025-04-10,5.12,5.12,5.00,5.02
MHD,2025-04-10,11.10,11.23,10.80,10.84
MHF,2025-04-10,7.25,7.26,7.08,7.21
MHI,2025-04-10,8.89,8.90,8.72,8.72
MHN,2025-04-10,9.75,9.79,9.58,9.68
MIY,2025-04-10,11.12,11.12,10.92,11.00
MMU,2025-04-10,9.76,9.83,9.56,9.60
MPA,2025-04-10,10.43,10.59,10.40,10.43
MQT,2025-04-10,9.34,9.43,9.11,9.28
MQY,2025-04-10,10.99,11.01,10.57,10.66
MUA,2025-04-10,10.03,10.05,9.85,9.88
MUC,2025-04-10,10.34,10.35,10.05,10.09
MUE,2025-04-10,9.51,9.68,9.28,9.29
MUJ,2025-04-10,10.78,10.87,10.65,10.76
MVF,2025-04-10,6.62,6.78,6.55,6.61
MVT,2025-04-10,10.01,10.25,9.80,9.82
MYD,2025-04-10,10.00,10.13,9.72,9.72
MYI,2025-04-10,10.50,10.56,10.27,10.31
MYN,2025-04-10,9.51,9.52,9.36,9.42
NAC,2025-04-10,10.64,10.70,10.47,10.57
NAD,2025-04-10,10.95,11.05,10.76,10.78
NAN,2025-04-10,11.13,11.15,10.78,11.05
NAZ,2025-04-10,11.98,12.06,11.66,11.71
NBH,2025-04-10,9.97,9.97,9.70,9.74
NCA,2025-04-10,8.34,8.53,8.34,8.40
NEA,2025-04-10,10.53,10.66,10.40,10.61
NIM,2025-04-10,8.97,9.08,8.97,9.04
NKX,2025-04-10,12.00,12.10,11.71,11.75
NMI,2025-04-10,9.37,9.60,9.34,9.46
NMS,2025-04-10,11.61,11.62,11.51,11.55
NMT,2025-04-10,11.60,11.62,10.90,11.08
NMZ,2025-04-10,10.04,10.04,9.68,9.75
NNY,2025-04-10,8.06,8.10,8.01,8.07
NOM,2025-04-10,9.92,10.02,9.90,9.99
NPV,2025-04-10,11.00,11.04,10.79,10.88
NQP,2025-04-10,11.10,11.13,10.97,11.04
NRK,2025-04-10,9.85,9.96,9.80,9.92
NUV,2025-04-10,8.53,8.58,8.43,8.48
NVG,2025-04-10,11.51,11.58,11.34,11.48
NXC,2025-04-10,12.75,12.82,12.56,12.56
NXJ,2025-04-10,11.24,11.30,11.09,11.20
NXN,2025-04-10,11.44,11.45,11.13,11.42
NXP,2025-04-10,13.67,13.90,13.60,13.74
NZF,2025-04-10,11.54,11.60,11.37,11.47
OIA,2025-04-10,5.69,5.71,5.56,5.64
PCK,2025-04-10,5.43,5.43,5.29,5.30
PCQ,2025-04-10,8.26,8.33,8.13,8.23
PMF,2025-04-10,7.93,8.06,7.73,7.79
PML,2025-04-10,7.45,7.45,7.29,7.34
PMM,2025-04-10,5.89,5.89,5.72,5.77
PMO,2025-04-10,9.49,9.58,9.40,9.46
PMX,2025-04-10,6.56,6.63,6.44,6.61
PNF,2025-04-10,6.93,6.94,6.77,6.78
PNI,2025-04-10,6.91,6.91,6.73,6.76
PYN,2025-04-10,5.32,5.32,5.07,5.28
PZC,2025-04-10,6.26,6.26,6.13,6.17
SBI,2025-04-10,7.53,7.59,7.38,7.45
VCV,2025-04-10,10.04,10.05,9.65,9.66
VFL,2025-04-10,9.36,9.43,9.27,9.33
VGM,2025-04-10,9.60,9.64,9.39,9.44
VKI,2025-04-10,8.25,8.29,8.01,8.10
VKQ,2025-04-10,9.19,9.21,9.02,9.08
VMO,2025-04-10,9.14,9.16,8.96,9.05
VPV,2025-04-10,9.70,9.88,9.70,9.76
VTN,2025-04-10,9.89,9.91,9.49,9.83
